idFilm;Year;Title;Subject;Actor;Actress;Director;Popularity;Awards;Image;Length
1554;1992;How the West Was Won;Western;Fonda, Henry;;;45;No;NicholasCage.png;165
1555;1992;Mummy's Hand, The;Mystery;Foran, Dick;;;54;No;NicholasCage.png;
1556;1993;Great White Death;Action;Ford, Glenn;;;26;No;glennFord.png;88
1557;1986;Mosquito Coast, The;Drama;Ford, Harrison;;;54;No;NicholasCage.png;119
1558;1993;Today We Kill....Tomorrow We Die;Western;Ford, Montgomery;;;25;No;NicholasCage.png;102
1559;1991;Tormenta Sobre Arizona;Drama;Ford, Wallace;;;81;No;NicholasCage.png;
1560;1989;Back to the Future II;Comedy;Fox, Michael J.;;;65;No;NicholasCage.png;116
1561;1959;Maverick, Duel at Sundown;Western;Garner, James;;;26;No;NicholasCage.png;60
1562;1983;Shakespeare Series;Drama;Gielgud, John;;;23;No;NicholasCage.png;
1563;1973;Deadly Trackers;Western;Harris, Richard;;;54;No;NicholasCage.png;105
1564;1992;American Film Institute, Alfred Hitchcock;Mystery;Hitchcock, Alfred;;;70;No;NicholasCage.png;72
1565;1990;A Married Man;Drama;Hopkins, Anthony;;;79;No;AnthonyHopkins.png;
1566;1982;Othello;Drama;Hopkins, Anthony;;;84;No;AnthonyHopkins.png;208
1567;1975;Only Way Home, The;Drama;Hopkins, Bo;;;60;No;NicholasCage.png;85
1568;1953;Tales of Tomorrow;Horror;Karloff, Boris;;;0;No;NicholasCage.png;120
1569;1991;Inherit the Wind;Drama;Kelly, Gene;;;18;No;NicholasCage.png;128
1570;1990;This Is Horror;Horror;King, Stephen;;;3;No;NicholasCage.png;45
1571;1992;Conversation Piece;Drama;Lancaster, Burt;;;1;No;burtLancaster.png;112
1572;1992;Crimson Pirate, The;Action;Lancaster, Burt;;;60;No;burtLancaster.png;105
1573;1992;Devil's Disciple, The;Mystery;Lancaster, Burt;;;65;No;burtLancaster.png;83
1574;1992;Hallelujah Trail, The;Drama;Lancaster, Burt;;;6;No;burtLancaster.png;166
1575;1992;Train, The;Action;Lancaster, Burt;;;68;No;burtLancaster.png;133
1576;1986;Jay Leno: The American Dream;Comedy;Leno, Jay;;;67;No;NicholasCage.png;49
1577;1990;Primal Rage;Mystery;Lowe, Patrick;;;3;No;NicholasCage.png;92
1578;1990;Industrial Symphony, The Dream of the Broken-Hearted;Music;Lynch, David;;;49;No;lynch.png;50
1579;1986;Howie Mandel's North American Watusi Tour;Comedy;Mandel, Howie;;;65;No;NicholasCage.png;52
1580;1989;Branford Marsalis, Steep;Music;Marsalis, Branford;;;52;No;NicholasCage.png;90
1581;1991;L. A. Story;Comedy;Martin, Steve;;;81;No;NicholasCage.png;98
1582;1986;Steve Martin Live!;Comedy;Martin, Steve;;;3;No;NicholasCage.png;60
1583;1974;Steve Martin, The Funnier Side of Eastern Canada;Comedy;Martin, Steve;;;34;No;NicholasCage.png;60
1584;1993;Runaway Barge, The;Action;Matheson, Tim;;;38;No;NicholasCage.png;
1585;1992;Romulus & the Sabines;Action;Moore, Roger;;;76;No;NicholasCage.png;101
1586;1989;Saint, The;Mystery;Moore, Roger;;;29;No;NicholasCage.png;
1587;1983;Strange Brew;Comedy;Moranis, Rick;;;24;No;NicholasCage.png;91
1588;1990;Another Forty-Eight Hours;Action;Murphy, Eddie;;;54;No;NicholasCage.png;98
1589;1989;Best of Eddie Murphy, Saturday Night Live, The;Comedy;Murphy, Eddie;;;56;No;NicholasCage.png;
1590;1991;What about Bob?;Comedy;Murray, Bill;;;6;No;NicholasCage.png;99
1591;1953;Mummy's Revenge, The;Horror;Naschy, Paul;;;56;No;NicholasCage.png;91
1592;1992;Harper;Mystery;Newman, Paul;;;86;No;paulNewman.png;121
1593;1992;Left Handed Gun, The;Western;Newman, Paul;;;26;No;paulNewman.png;102
1594;1989;Once upon a Wheel;Action;Newman, Paul;;;40;No;paulNewman.png;
1595;1992;Prize, The;Drama;Newman, Paul;;;66;No;paulNewman.png;136
1596;1968;Secret War of Harry Frigg, The;Comedy;Newman, Paul;;;28;No;paulNewman.png;
1597;1990;Two Jakes, The;Mystery;Nicholson, Jack;;;3;No;NicholasCage.png;
1598;1989;Exile in Concert;Music;Pennington, J. P.;;;12;No;NicholasCage.png;61
1599;1987;Joe Piscopo New Jersey Special;Comedy;Piscopo, Joe;;;14;No;NicholasCage.png;60
1600;1991;Joe Piscopo Video, The;Comedy;Piscopo, Joe;;;44;No;NicholasCage.png;60
1601;1989;Death Valley Days, No Gun Behind His Badge;Western;Reagan, Ronald;;;1;No;NicholasCage.png;
1602;1988;Salsa: The Motion Picture;Drama;Rosa, Robby;;;26;No;NicholasCage.png;96
1603;1991;Hollywood's Greatest War Movies;War;Scott, George C.;;;41;No;NicholasCage.png;80
1604;1991;Out for Justice;Action;Seagal, Steven;;;2;No;NicholasCage.png;91
1605;1956;Case of the Mukkinese Battle Horn, The;Comedy;Sellers, Peter;;;45;No;NicholasCage.png;27
